u	v	w
2148	406	15	
5296	407	18	
9754	408	1	
5641	409	15	
5275	410	24	
2062	411	3	
7308	412	25	
7101	413	6	
5091	414	18	
6609	415	13	
8054	416	2	
6161	417	7	
5821	418	3	
8401	419	9	
9723	420	9	
6065	421	15	
4477	422	13	
9331	423	16	
5652	424	1	
6291	425	2	
2808	426	2	
7691	427	4	
6243	428	13	
9862	429	29	
9843	430	12	
5344	431	36	
6521	432	9	
9725	433	4	
9254	434	1	
6460	435	3	
6160	436	10	
8211	437	1	
9358	438	11	
4856	439	14	
6634	440	5	
4365	441	2	
1728	442	1	
6223	443	7	
6691	444	5	
2110	445	10	
8863	446	16	
3506	447	12	
7981	448	13	
4347	449	13	
8435	450	7	
2739	451	21	
6036	452	11	
8049	453	17	
5370	454	1	
6932	455	11	
6714	456	10	
6084	457	36	
1829	458	4	
8664	459	11	
8704	460	5	
121	461	20	
638	462	4	
4366	463	2	
1784	464	6	
8053	465	7	
3056	466	6	
8471	467	23	
2397	468	20	
6306	469	6	
7237	470	8	
3435	471	15	
4407	472	10	
13	473	12	
3097	474	3	
1406	475	8	
5387	476	26	
6286	477	4	
5484	478	9	
1437	479	2	
3339	480	32	
5333	481	2	
9187	482	6	
9537	483	5	
7011	484	6	
5317	485	1	
871	486	4	
9363	487	33	
5609	488	26	
1694	489	12	
8342	490	2	
1259	491	3	
415	492	15	
7928	493	5	
2924	494	9	
978	495	5	
8711	496	3	
6722	497	9	
5524	498	1	
5330	499	3	
7578	500	17	
1544	501	41	
9849	502	8	
3369	503	6	
9506	504	2	
4139	505	7	
187	506	16	
5160	507	6	
6584	508	6	
5031	509	7	
7896	510	3	
234	511	12	
7805	512	13	
4916	513	10	
4634	514	1	
9275	515	24	
2907	516	2	
310	517	20	
1924	518	1	
3767	519	6	
1571	520	3	
8297	521	1	
4579	522	10	
2463	523	17	
8185	524	10	
4955	525	5	
7961	526	22	
9812	527	13	
3582	528	10	
1976	529	9	
6292	530	9	
4057	531	6	
2697	532	12	
7340	533	4	
5600	534	9	
1358	535	5	
8705	536	26	
201	537	8	
5710	538	8	
7230	539	12	
4942	540	51	
1674	541	11	
9247	542	14	
2085	543	6	
1094	544	4	
8283	545	30	
7141	546	6	
8190	547	1	
6613	548	5	
425	549	11	
9201	550	10	
9163	551	15	
9360	552	11	
3330	553	9	
4000	554	3	
2977	555	7	
3952	556	29	
1604	557	5	
9724	558	4	
7941	559	28	
7296	560	16	
6036	561	24	
538	562	9	
4386	563	9	
8281	564	4	
2887	565	12	
3798	566	11	
2754	567	21	
8190	568	12	
1184	569	10	
343	570	21	
1224	571	4	
4150	572	4	
4554	573	18	
5015	574	13	
3898	575	16	
3369	576	6	
5570	577	6	
4221	578	2	
4519	579	8	
7573	580	12	
3942	581	20	
7783	582	34	
3997	583	10	
3014	584	29	
3869	585	13	
6370	586	24	
8725	587	1	
2152	588	5	
8783	589	26	
3144	590	5	
8859	591	15	
3308	592	26	
7818	593	3	
2051	594	11	
5736	595	3	
3819	596	3	
1845	597	8	
8505	598	1	
7035	599	10	
4323	600	23	
1713	601	14	
9535	602	11	
8369	603	2	
4583	604	13	
6375	605	11	
1860	606	18	
9035	607	8	
2154	608	6	
7930	609	13	
5718	610	9	
7807	611	1	
778	612	13	
1912	613	4	
794	614	8	
2868	615	13	
6668	616	12	
8840	617	16	
2861	618	15	
8980	619	21	
6205	620	1	
6173	621	17	
6474	622	15	
4778	623	9	
6275	624	4	
6631	625	2	
509	626	12	
2081	627	2	
5708	628	6	
882	629	25	
9986	630	6	
3310	631	26	
164	632	1	
3682	633	2	
50	634	23	
5958	635	10	
5032	636	13	
9103	637	26	
1551	638	14	
7006	639	9	
404	640	11	
3056	641	13	
3935	642	13	
2150	643	3	
1273	644	13	
3575	645	8	
9883	646	30	
5760	647	24	
9350	648	8	
3664	649	9	
7584	650	6	
2489	651	11	
5908	652	15	
910	653	40	
2460	654	3	
1358	655	22	
8531	656	3	
2610	657	2	
4520	658	13	
8944	659	10	
4801	660	14	
8507	661	1	
216	662	21	
3788	663	8	
2764	664	9	
357	665	25	
5968	666	13	
9897	667	9	
3940	668	13	
8902	669	8	
1271	670	10	
4823	671	18	
6131	672	18	
7319	673	6	
8299	674	3	
447	675	18	
6120	676	22	
4059	677	25	
9114	678	10	
1311	679	13	
9429	680	9	
420	681	11	
7247	682	2	
1882	683	2	
6024	684	1	
7486	685	18	
7206	686	4	
196	687	6	
1197	688	13	
7241	689	15	
6904	690	10	
5794	691	9	
2715	692	14	
5946	693	7	
1755	694	23	
173	695	1	
1489	696	12	
9029	697	10	
1534	698	23	
2388	699	1	
5986	700	24	
4078	701	32	
