u	v	w
6986	1686	2	
3390	1687	5	
506	1688	10	
7298	1689	22	
2877	1690	12	
2541	1691	6	
5038	1692	14	
173	1693	7	
3765	1694	10	
2466	1695	19	
1541	1696	21	
5101	1697	8	
9513	1698	11	
5264	1699	9	
5461	1700	1	
353	1701	13	
236	1702	17	
5633	1703	8	
3548	1704	11	
203	1705	9	
4397	1706	5	
650	1707	13	
2255	1708	7	
3325	1709	6	
7672	1710	17	
3801	1711	36	
2414	1712	16	
4662	1713	9	
1667	1714	10	
9552	1715	29	
732	1716	24	
3150	1717	6	
6901	1718	24	
4885	1719	2	
2204	1720	1	
8470	1721	13	
5574	1722	9	
8793	1723	5	
7823	1724	2	
5613	1725	6	
7070	1726	10	
916	1727	22	
7241	1728	11	
4929	1729	7	
9797	1730	12	
1707	1731	19	
9574	1732	15	
2831	1733	41	
8953	1734	24	
9334	1735	3	
8016	1736	5	
8086	1737	21	
1720	1738	3	
7777	1739	10	
2789	1740	6	
2032	1741	23	
864	1742	12	
293	1743	4	
8288	1744	33	
6401	1745	8	
6642	1746	1	
3425	1747	67	
7695	1748	30	
8186	1749	12	
9675	1750	3	
33	1751	13	
6921	1752	10	
8153	1753	20	
1065	1754	10	
5675	1755	10	
208	1756	27	
3352	1757	19	
1601	1758	6	
8134	1759	10	
5127	1760	40	
9919	1761	9	
6490	1762	5	
306	1763	12	
6668	1764	16	
8448	1765	30	
440	1766	23	
8948	1767	7	
478	1768	8	
7279	1769	13	
4212	1770	8	
868	1771	14	
1345	1772	13	
8812	1773	1	
3830	1774	17	
1428	1775	2	
9300	1776	19	
2748	1777	11	
7687	1778	12	
3253	1779	7	
654	1780	16	
3609	1781	1	
6869	1782	36	
8944	1783	4	
6487	1784	7	
7184	1785	9	
2125	1786	5	
5169	1787	5	
373	1788	7	
3498	1789	11	
9398	1790	22	
8341	1791	4	
9990	1792	12	
2511	1793	7	
3133	1794	10	
5562	1795	8	
390	1796	9	
9991	1797	13	
7748	1798	1	
1033	1799	5	
7313	1800	14	
7038	1801	9	
2307	1802	25	
8332	1803	9	
8178	1804	59	
9694	1805	6	
4113	1806	14	
4182	1807	6	
2046	1808	4	
399	1809	11	
7651	1810	5	
1751	1811	2	
3608	1812	4	
5023	1813	17	
6776	1814	3	
2153	1815	7	
3511	1816	7	
7522	1817	11	
9915	1818	9	
502	1819	16	
5202	1820	17	
2455	1821	29	
9763	1822	10	
1758	1823	1	
7371	1824	8	
3198	1825	17	
6747	1826	16	
5702	1827	17	
3599	1828	8	
1680	1829	13	
4243	1830	4	
6772	1831	14	
9543	1832	6	
2258	1833	8	
9061	1834	14	
7695	1835	15	
4960	1836	5	
2119	1837	4	
6658	1838	4	
7122	1839	41	
270	1840	11	
3957	1841	4	
4620	1842	5	
467	1843	33	
4930	1844	4	
1579	1845	10	
1111	1846	28	
5303	1847	2	
1087	1848	24	
4855	1849	4	
3822	1850	14	
2196	1851	17	
4668	1852	18	
2402	1853	4	
7374	1854	17	
551	1855	20	
4562	1856	21	
6570	1857	11	
6341	1858	8	
7938	1859	39	
1414	1860	2	
1445	1861	12	
4443	1862	17	
2987	1863	9	
6396	1864	17	
3361	1865	11	
7306	1866	25	
1586	1867	9	
1904	1868	60	
4652	1869	3	
198	1870	2	
2050	1871	10	
9136	1872	24	
842	1873	9	
3262	1874	30	
7724	1875	3	
575	1876	22	
5371	1877	17	
7553	1878	7	
1292	1879	4	
1683	1880	20	
9893	1881	22	
512	1882	5	
2223	1883	26	
5942	1884	9	
3845	1885	18	
9570	1886	7	
1472	1887	1	
8584	1888	9	
4426	1889	15	
3352	1890	12	
8965	1891	10	
5735	1892	33	
4904	1893	11	
4245	1894	7	
6835	1895	7	
5785	1896	5	
7296	1897	14	
1292	1898	28	
6370	1899	9	
5948	1900	4	
4965	1901	9	
6196	1902	5	
5120	1903	6	
6007	1904	12	
9018	1905	12	
3535	1906	2	
6401	1907	4	
681	1908	48	
2531	1909	14	
4637	1910	16	
7548	1911	5	
8651	1912	3	
7460	1913	3	
213	1914	27	
6831	1915	9	
1492	1916	9	
9538	1917	7	
980	1918	4	
6082	1919	22	
152	1920	13	
9811	1921	22	
2373	1922	29	
2439	1923	22	
2259	1924	1	
5733	1925	6	
8689	1926	3	
2902	1927	8	
2596	1928	21	
3909	1929	1	
1358	1930	5	
4822	1931	15	
2397	1932	1	
5689	1933	20	
4867	1934	1	
5755	1935	1	
9303	1936	17	
5033	1937	9	
8206	1938	11	
4914	1939	14	
8080	1940	17	
925	1941	7	
6954	1942	11	
3269	1943	19	
903	1944	15	
1946	1945	31	
6272	1946	5	
3033	1947	22	
1672	1948	2	
4421	1949	4	
2156	1950	42	
3	1951	1	
1573	1952	15	
3636	1953	5	
4802	1954	6	
2933	1955	19	
432	1956	10	
5300	1957	3	
9644	1958	5	
7479	1959	10	
6727	1960	4	
6190	1961	6	
5256	1962	8	
5705	1963	5	
6278	1964	14	
4677	1965	7	
3266	1966	5	
505	1967	8	
886	1968	8	
7705	1969	7	
6005	1970	17	
4381	1971	7	
950	1972	4	
6395	1973	12	
5471	1974	1	
7563	1975	22	
7061	1976	8	
4418	1977	21	
3641	1978	2	
5093	1979	2	
5718	1980	12	
3636	1981	24	
5087	1982	40	
5638	1983	3	
6544	1984	33	
1020	1985	12	
5231	1986	24	
4924	1987	11	
3865	1988	24	
6284	1989	9	
5439	1990	12	
3095	1991	19	
2805	1992	7	
4796	1993	19	
194	1994	26	
2383	1995	24	
7106	1996	16	
7066	1997	38	
2304	1998	21	
7166	1999	28	
9991	2000	60	
312	2001	22	
1418	2002	20	
8376	2003	5	
6720	2004	2	
7806	2005	16	
3545	2006	8	
8856	2007	8	
4585	2008	15	
3357	2009	30	
4664	2010	6	
6111	2011	17	
4833	2012	15	
9517	2013	14	
6223	2014	8	
2573	2015	21	
9660	2016	10	
2910	2017	6	
6797	2018	12	
1230	2019	20	
661	2020	2	
5212	2021	6	
2480	2022	45	
4127	2023	2	
1790	2024	25	
2168	2025	6	
1818	2026	18	
8852	2027	21	
3566	2028	20	
4897	2029	9	
3124	2030	8	
5852	2031	2	
6783	2032	3	
10	2033	13	
1633	2034	17	
7580	2035	4	
7899	2036	1	
8248	2037	20	
7420	2038	7	
7604	2039	15	
3803	2040	6	
8744	2041	18	
9583	2042	17	
1031	2043	3	
8588	2044	25	
7970	2045	17	
4441	2046	3	
790	2047	10	
911	2048	12	
9733	2049	27	
5850	2050	7	
5214	2051	13	
7392	2052	15	
5534	2053	8	
236	2054	2	
7661	2055	15	
7880	2056	4	
743	2057	8	
9118	2058	6	
5360	2059	17	
7866	2060	16	
5491	2061	9	
4848	2062	1	
5587	2063	12	
9508	2064	25	
4980	2065	15	
8628	2066	20	
5228	2067	5	
1143	2068	19	
3276	2069	4	
3950	2070	26	
5966	2071	14	
8259	2072	5	
3680	2073	9	
2863	2074	3	
7958	2075	4	
7826	2076	8	
1534	2077	45	
6345	2078	24	
5363	2079	17	
3740	2080	22	
4126	2081	3	
1173	2082	28	
3180	2083	7	
4704	2084	11	
7222	2085	5	
6804	2086	13	
3772	2087	10	
6732	2088	8	
4735	2089	13	
7208	2090	13	
6301	2091	1	
2492	2092	25	
6862	2093	1	
7474	2094	10	
4299	2095	5	
8808	2096	4	
6937	2097	49	
6417	2098	8	
7362	2099	11	
1060	2100	10	
3437	2101	6	
8978	2102	15	
1811	2103	21	
3159	2104	18	
9076	2105	3	
1556	2106	10	
9080	2107	7	
7303	2108	14	
4855	2109	1	
4949	2110	4	
8612	2111	1	
1037	2112	11	
3044	2113	30	
9182	2114	12	
3180	2115	8	
5080	2116	2	
2653	2117	14	
9270	2118	8	
605	2119	15	
8523	2120	23	
1754	2121	5	
6059	2122	17	
1626	2123	12	
2751	2124	10	
8375	2125	22	
5198	2126	1	
5539	2127	15	
4619	2128	17	
824	2129	5	
2140	2130	23	
9552	2131	5	
7922	2132	13	
6141	2133	13	
7931	2134	27	
6096	2135	8	
4169	2136	4	
3778	2137	12	
846	2138	18	
1905	2139	15	
370	2140	16	
3228	2141	8	
8767	2142	9	
6832	2143	2	
4031	2144	5	
6222	2145	3	
2846	2146	9	
5913	2147	5	
9561	2148	5	
5208	2149	20	
40	2150	2	
3520	2151	15	
366	2152	2	
7410	2153	9	
4677	2154	2	
3025	2155	5	
3974	2156	5	
2185	2157	34	
1731	2158	13	
2360	2159	13	
1952	2160	11	
9402	2161	12	
5058	2162	2	
7401	2163	10	
288	2164	4	
1460	2165	4	
7109	2166	2	
5582	2167	8	
6856	2168	3	
9103	2169	8	
9103	2170	20	
3150	2171	12	
3951	2172	11	
3498	2173	9	
3371	2174	17	
2354	2175	6	
9486	2176	8	
7649	2177	2	
1627	2178	20	
9051	2179	10	
7498	2180	1	
8999	2181	9	
1187	2182	19	
8046	2183	12	
3367	2184	17	
229	2185	8	
4432	2186	33	
3553	2187	28	
9758	2188	20	
2952	2189	2	
4395	2190	4	
5674	2191	16	
365	2192	28	
3418	2193	14	
654	2194	3	
6907	2195	38	
280	2196	13	
3726	2197	11	
2368	2198	3	
4595	2199	17	
6947	2200	6	
5390	2201	2	
9749	2202	14	
5579	2203	4	
5824	2204	6	
9069	2205	6	
9614	2206	7	
8266	2207	15	
9429	2208	20	
2670	2209	13	
6192	2210	13	
1257	2211	6	
7462	2212	6	
927	2213	10	
4393	2214	12	
2574	2215	16	
5363	2216	22	
1052	2217	15	
9712	2218	10	
4214	2219	6	
4050	2220	5	
9124	2221	14	
8797	2222	40	
4981	2223	16	
2340	2224	7	
9967	2225	6	
8046	2226	15	
5266	2227	1	
1762	2228	30	
2715	2229	4	
9575	2230	10	
2539	2231	41	
850	2232	9	
7591	2233	7	
560	2234	1	
1930	2235	3	
8737	2236	17	
797	2237	10	
599	2238	14	
8578	2239	7	
5630	2240	21	
0	2241	17	
9923	2242	20	
7692	2243	24	
8396	2244	5	
3093	2245	25	
2808	2246	10	
3086	2247	6	
1751	2248	17	
5817	2249	6	
4891	2250	8	
6325	2251	14	
7902	2252	9	
9188	2253	3	
2994	2254	8	
3642	2255	21	
391	2256	30	
5511	2257	23	
7853	2258	15	
2526	2259	11	
3516	2260	22	
7860	2261	8	
1134	2262	16	
6738	2263	8	
2569	2264	5	
3648	2265	19	
2147	2266	12	
2810	2267	23	
2499	2268	4	
5223	2269	17	
3482	2270	12	
909	2271	1	
4129	2272	9	
6429	2273	27	
2892	2274	20	
1717	2275	9	
6563	2276	13	
3749	2277	13	
8587	2278	13	
6206	2279	17	
9418	2280	26	
2369	2281	7	
4099	2282	6	
3014	2283	11	
3548	2284	3	
3961	2285	2	
4504	2286	16	
9737	2287	18	
4048	2288	5	
3775	2289	26	
5744	2290	33	
9458	2291	9	
2661	2292	3	
9795	2293	18	
462	2294	3	
5161	2295	8	
6602	2296	13	
4330	2297	24	
4194	2298	36	
50	2299	6	
9853	2300	19	
9187	2301	55	
2551	2302	14	
2085	2303	12	
9938	2304	1	
9227	2305	16	
7836	2306	3	
9464	2307	4	
6399	2308	7	
5424	2309	6	
249	2310	13	
8290	2311	1	
868	2312	4	
9720	2313	17	
4868	2314	11	
8925	2315	17	
8915	2316	19	
8784	2317	8	
3578	2318	1	
9659	2319	17	
2573	2320	2	
7333	2321	27	
7089	2322	2	
8414	2323	27	
2647	2324	7	
9295	2325	4	
81	2326	2	
7249	2327	27	
6248	2328	5	
6314	2329	12	
7717	2330	18	
5229	2331	1	
3414	2332	9	
5436	2333	9	
3117	2334	4	
4278	2335	23	
3868	2336	7	
7584	2337	27	
6526	2338	30	
1468	2339	9	
393	2340	5	
8976	2341	7	
8142	2342	7	
1948	2343	10	
5372	2344	2	
2709	2345	2	
9649	2346	1	
8968	2347	5	
4256	2348	1	
6087	2349	10	
6659	2350	2	
1567	2351	15	
7963	2352	5	
1795	2353	10	
4495	2354	4	
6058	2355	25	
7595	2356	19	
3505	2357	4	
4422	2358	18	
3325	2359	23	
1132	2360	5	
452	2361	7	
2058	2362	10	
4803	2363	7	
4104	2364	1	
7569	2365	4	
4824	2366	21	
2209	2367	24	
8072	2368	11	
4679	2369	6	
4080	2370	15	
9374	2371	29	
9045	2372	17	
4655	2373	4	
605	2374	1	
1113	2375	11	
6840	2376	16	
6249	2377	8	
7898	2378	19	
3945	2379	6	
2710	2380	1	
5514	2381	17	
287	2382	10	
7189	2383	1	
4236	2384	16	
7564	2385	3	
6305	2386	10	
3700	2387	13	
5200	2388	9	
2674	2389	16	
6776	2390	8	
5231	2391	6	
8853	2392	13	
7911	2393	6	
3811	2394	9	
5590	2395	21	
9099	2396	16	
1085	2397	8	
7602	2398	2	
3419	2399	2	
6516	2400	18	
5399	2401	21	
4436	2402	1	
5592	2403	3	
3641	2404	14	
9193	2405	15	
3773	2406	4	
1538	2407	13	
7304	2408	4	
561	2409	44	
3683	2410	23	
3799	2411	10	
3634	2412	4	
7533	2413	7	
9686	2414	7	
3139	2415	38	
4961	2416	20	
4010	2417	18	
4661	2418	1	
6606	2419	9	
8234	2420	17	
3706	2421	4	
7087	2422	11	
2306	2423	10	
2283	2424	7	
2731	2425	17	
6373	2426	11	
9834	2427	13	
1205	2428	17	
5423	2429	3	
9536	2430	10	
3069	2431	14	
6853	2432	10	
9732	2433	5	
240	2434	6	
6454	2435	17	
5390	2436	7	
207	2437	9	
8547	2438	15	
2480	2439	1	
5271	2440	15	
8811	2441	10	
6358	2442	14	
4722	2443	12	
2021	2444	6	
5270	2445	12	
2817	2446	3	
6779	2447	8	
8866	2448	18	
875	2449	6	
7754	2450	42	
8168	2451	5	
4210	2452	14	
727	2453	37	
6819	2454	6	
1838	2455	3	
6822	2456	20	
8385	2457	8	
1202	2458	24	
2766	2459	3	
626	2460	5	
58	2461	11	
622	2462	2	
9523	2463	4	
7047	2464	9	
5592	2465	14	
503	2466	20	
901	2467	24	
6625	2468	29	
138	2469	10	
8202	2470	27	
2874	2471	6	
1499	2472	11	
1068	2473	4	
4204	2474	19	
3908	2475	13	
836	2476	16	
9287	2477	7	
3354	2478	21	
7996	2479	19	
8591	2480	10	
2950	2481	15	
6775	2482	15	
6017	2483	34	
829	2484	22	
9959	2485	12	
2191	2486	23	
8886	2487	36	
1229	2488	7	
3460	2489	4	
4667	2490	8	
4599	2491	10	
1739	2492	22	
8238	2493	1	
9101	2494	17	
6004	2495	11	
5595	2496	7	
7315	2497	11	
5234	2498	22	
1418	2499	24	
3140	2500	22	
7558	2501	6	
145	2502	6	
5876	2503	13	
4166	2504	43	
9708	2505	20	
4624	2506	18	
2724	2507	6	
6039	2508	4	
2919	2509	22	
6503	2510	6	
1259	2511	9	
5051	2512	11	
9519	2513	8	
2296	2514	5	
3663	2515	1	
486	2516	29	
4805	2517	2	
7763	2518	4	
2568	2519	15	
6298	2520	17	
7979	2521	5	
9774	2522	15	
2076	2523	15	
3630	2524	17	
8091	2525	15	
1588	2526	1	
2505	2527	7	
4434	2528	17	
7258	2529	13	
2184	2530	24	
5101	2531	13	
5595	2532	11	
1058	2533	18	
7031	2534	1	
4958	2535	10	
1196	2536	8	
2006	2537	8	
6287	2538	10	
5406	2539	10	
8225	2540	11	
7440	2541	11	
55	2542	14	
2423	2543	16	
5205	2544	14	
2554	2545	28	
9184	2546	3	
4503	2547	7	
8161	2548	1	
8403	2549	24	
2652	2550	6	
3205	2551	8	
648	2552	7	
5926	2553	17	
2439	2554	10	
3989	2555	3	
6681	2556	15	
6434	2557	12	
330	2558	41	
2028	2559	2	
9620	2560	21	
386	2561	28	
4644	2562	11	
2932	2563	22	
5460	2564	21	
9309	2565	2	
3568	2566	3	
8509	2567	20	
4928	2568	21	
638	2569	7	
5892	2570	2	
2877	2571	5	
7606	2572	5	
755	2573	1	
2159	2574	5	
3551	2575	28	
4235	2576	20	
8591	2577	5	
5051	2578	3	
6436	2579	8	
3701	2580	20	
7221	2581	18	
2538	2582	12	
519	2583	5	
2073	2584	13	
8300	2585	4	
2229	2586	11	
4139	2587	34	
837	2588	9	
5002	2589	20	
950	2590	11	
7723	2591	14	
2548	2592	4	
5255	2593	3	
8169	2594	10	
2713	2595	23	
1084	2596	10	
2165	2597	8	
2162	2598	25	
1915	2599	18	
1122	2600	3	
9029	2601	18	
124	2602	15	
8307	2603	24	
4241	2604	2	
3332	2605	12	
2363	2606	3	
4900	2607	3	
7924	2608	1	
7939	2609	8	
5869	2610	6	
1569	2611	19	
5750	2612	5	
5683	2613	13	
6190	2614	7	
8404	2615	17	
486	2616	20	
157	2617	20	
6855	2618	8	
959	2619	14	
2712	2620	10	
2501	2621	30	
4499	2622	1	
8103	2623	1	
3675	2624	6	
8205	2625	26	
5114	2626	2	
9286	2627	4	
5232	2628	22	
7426	2629	25	
7201	2630	30	
4469	2631	10	
3747	2632	20	
4582	2633	18	
9604	2634	12	
5850	2635	4	
248	2636	11	
9405	2637	8	
3343	2638	16	
9235	2639	6	
3516	2640	5	
4226	2641	9	
7402	2642	1	
1406	2643	2	
509	2644	7	
1563	2645	39	
3713	2646	21	
4791	2647	12	
9396	2648	1	
2718	2649	4	
5281	2650	17	
3214	2651	9	
5149	2652	13	
6662	2653	2	
9062	2654	24	
4131	2655	7	
359	2656	12	
6644	2657	41	
3899	2658	22	
8201	2659	11	
1751	2660	8	
9774	2661	21	
9811	2662	29	
6555	2663	21	
8961	2664	10	
8195	2665	15	
7333	2666	16	
8644	2667	6	
1016	2668	5	
5114	2669	28	
4006	2670	5	
2506	2671	18	
2114	2672	4	
9453	2673	3	
3261	2674	21	
5851	2675	12	
2129	2676	13	
6271	2677	12	
5175	2678	5	
5143	2679	15	
8778	2680	11	
2816	2681	4	
6255	2682	17	
2600	2683	20	
7815	2684	5	
461	2685	4	
4262	2686	5	
9331	2687	9	
149	2688	73	
9634	2689	7	
5480	2690	4	
7889	2691	9	
4076	2692	3	
3328	2693	26	
4228	2694	6	
169	2695	5	
3601	2696	38	
6074	2697	12	
1527	2698	13	
6589	2699	22	
6497	2700	7	
953	2701	2	
4109	2702	9	
6496	2703	16	
5705	2704	14	
9341	2705	14	
2989	2706	9	
2956	2707	13	
2217	2708	4	
4362	2709	17	
2109	2710	8	
285	2711	14	
6379	2712	3	
2083	2713	9	
6792	2714	12	
9933	2715	7	
4848	2716	6	
5654	2717	21	
2689	2718	12	
360	2719	14	
246	2720	14	
6580	2721	9	
670	2722	13	
5990	2723	11	
6145	2724	7	
1324	2725	12	
7376	2726	3	
9435	2727	1	
4053	2728	18	
4228	2729	4	
5154	2730	27	
5234	2731	10	
5258	2732	14	
2485	2733	47	
7100	2734	9	
920	2735	11	
7668	2736	1	
2224	2737	11	
5110	2738	2	
3507	2739	12	
3150	2740	10	
4669	2741	8	
3086	2742	7	
4825	2743	15	
7716	2744	8	
7028	2745	26	
4123	2746	26	
2593	2747	3	
1469	2748	15	
120	2749	20	
789	2750	15	
1423	2751	14	
806	2752	13	
8968	2753	28	
7267	2754	22	
4052	2755	3	
1337	2756	9	
370	2757	1	
3185	2758	12	
3633	2759	11	
7679	2760	21	
8528	2761	26	
8505	2762	15	
8180	2763	8	
5252	2764	11	
4497	2765	15	
2943	2766	8	
1746	2767	5	
2254	2768	11	
9773	2769	5	
2853	2770	4	
2814	2771	2	
4262	2772	3	
9976	2773	19	
837	2774	12	
3915	2775	20	
4918	2776	3	
1737	2777	13	
7959	2778	40	
78	2779	9	
9195	2780	4	
1180	2781	12	
3958	2782	30	
7350	2783	12	
303	2784	1	
2873	2785	10	
8176	2786	4	
7770	2787	32	
8717	2788	7	
9063	2789	10	
5159	2790	5	
5350	2791	23	
1050	2792	15	
4466	2793	16	
2162	2794	13	
144	2795	9	
4950	2796	16	
125	2797	22	
7468	2798	9	
5906	2799	26	
8474	2800	2	
964	2801	16	
3936	2802	18	
521	2803	31	
4141	2804	14	
5115	2805	9	
4855	2806	4	
6720	2807	2	
3630	2808	5	
2594	2809	10	
7821	2810	4	
4903	2811	15	
4116	2812	28	
1758	2813	30	
8938	2814	1	
3726	2815	8	
5965	2816	3	
42	2817	6	
2013	2818	12	
6402	2819	16	
668	2820	14	
1932	2821	15	
2811	2822	37	
3207	2823	10	
4567	2824	1	
4260	2825	4	
4689	2826	7	
5842	2827	18	
1233	2828	4	
5110	2829	9	
2974	2830	12	
5052	2831	15	
180	2832	14	
8528	2833	4	
5012	2834	4	
8117	2835	12	
4904	2836	7	
20	2837	42	
1337	2838	21	
5244	2839	30	
4210	2840	9	
7408	2841	14	
1518	2842	12	
7490	2843	28	
6596	2844	13	
9848	2845	1	
1824	2846	16	
7776	2847	12	
1948	2848	17	
5965	2849	18	
4362	2850	6	
6892	2851	3	
4133	2852	1	
6455	2853	11	
8361	2854	7	
3189	2855	2	
8889	2856	13	
7395	2857	11	
5341	2858	10	
1411	2859	28	
8169	2860	27	
3007	2861	13	
5839	2862	15	
4036	2863	5	
6281	2864	20	
9887	2865	11	
1912	2866	11	
8327	2867	14	
1293	2868	9	
7531	2869	1	
1552	2870	9	
5320	2871	11	
3519	2872	12	
9996	2873	10	
9034	2874	2	
7483	2875	20	
1311	2876	34	
7349	2877	9	
29	2878	23	
3873	2879	4	
1685	2880	11	
8193	2881	13	
3598	2882	1	
881	2883	7	
1565	2884	11	
7027	2885	9	
4457	2886	10	
502	2887	6	
6360	2888	2	
4258	2889	12	
6466	2890	9	
9044	2891	7	
9689	2892	33	
1913	2893	31	
1289	2894	13	
232	2895	4	
1848	2896	14	
985	2897	5	
1303	2898	24	
40	2899	10	
1299	2900	10	
3318	2901	6	
4568	2902	10	
2154	2903	13	
8903	2904	13	
8204	2905	27	
8650	2906	18	
2945	2907	10	
3006	2908	7	
6359	2909	1	
7140	2910	15	
6304	2911	21	
1924	2912	9	
3979	2913	1	
5128	2914	17	
3106	2915	19	
6532	2916	21	
7205	2917	19	
3526	2918	24	
53	2919	9	
3042	2920	14	
1988	2921	26	
9542	2922	7	
9561	2923	32	
7024	2924	14	
1230	2925	12	
4703	2926	24	
2534	2927	6	
9323	2928	15	
3908	2929	10	
7883	2930	35	
3123	2931	14	
6977	2932	24	
3164	2933	13	
636	2934	11	
9821	2935	1	
6375	2936	18	
1210	2937	3	
5555	2938	12	
6750	2939	26	
932	2940	14	
1139	2941	14	
6928	2942	8	
1082	2943	14	
3305	2944	22	
9595	2945	9	
2349	2946	15	
8148	2947	21	
5243	2948	3	
9038	2949	9	
7855	2950	2	
4391	2951	8	
4072	2952	12	
9501	2953	13	
5596	2954	7	
4664	2955	22	
6698	2956	18	
2039	2957	20	
4542	2958	2	
5057	2959	19	
408	2960	10	
7757	2961	15	
4001	2962	4	
3612	2963	12	
7699	2964	20	
5933	2965	15	
2226	2966	2	
7944	2967	10	
2186	2968	45	
9727	2969	5	
2716	2970	6	
842	2971	9	
5301	2972	46	
9234	2973	10	
1875	2974	6	
7214	2975	24	
1300	2976	26	
4942	2977	3	
8280	2978	8	
4228	2979	10	
3219	2980	3	
6776	2981	19	
8024	2982	16	
389	2983	15	
5062	2984	11	
6014	2985	14	
2420	2986	18	
5696	2987	20	
5579	2988	8	
8305	2989	15	
8779	2990	22	
1758	2991	2	
2079	2992	20	
5302	2993	4	
5792	2994	4	
8938	2995	13	
6854	2996	11	
9947	2997	33	
4097	2998	4	
6007	2999	28	
5085	3000	5	
6005	3001	21	
3110	3002	7	
292	3003	3	
9272	3004	7	
888	3005	21	
1891	3006	5	
6063	3007	1	
1869	3008	26	
2695	3009	10	
1322	3010	54	
8388	3011	17	
5653	3012	17	
2305	3013	22	
2406	3014	3	
8076	3015	22	
6180	3016	14	
6561	3017	20	
574	3018	3	
756	3019	16	
3312	3020	4	
104	3021	12	
7051	3022	10	
4416	3023	8	
4016	3024	4	
9224	3025	15	
2314	3026	10	
4927	3027	4	
7001	3028	15	
2749	3029	20	
2196	3030	42	
7841	3031	4	
5457	3032	5	
5031	3033	8	
7639	3034	3	
5707	3035	5	
2008	3036	15	
8056	3037	1	
607	3038	2	
7940	3039	45	
1716	3040	9	
1246	3041	14	
9908	3042	6	
5796	3043	9	
5863	3044	12	
2371	3045	30	
416	3046	8	
3203	3047	17	
1004	3048	20	
1916	3049	7	
7890	3050	19	
6298	3051	6	
3933	3052	1	
6487	3053	11	
602	3054	15	
5125	3055	9	
9990	3056	9	
7503	3057	9	
7729	3058	3	
3012	3059	8	
6965	3060	18	
2394	3061	11	
2550	3062	6	
5903	3063	19	
6191	3064	8	
712	3065	12	
842	3066	18	
9740	3067	8	
4781	3068	2	
5094	3069	14	
6830	3070	6	
291	3071	7	
5097	3072	14	
9511	3073	7	
6040	3074	23	
4827	3075	7	
7486	3076	2	
5760	3077	16	
2002	3078	22	
1444	3079	2	
2691	3080	28	
1606	3081	56	
1696	3082	14	
9830	3083	7	
4516	3084	8	
7612	3085	12	
5624	3086	3	
2646	3087	21	
5680	3088	1	
443	3089	4	
6596	3090	21	
3535	3091	9	
1172	3092	15	
2996	3093	22	
5266	3094	8	
2060	3095	15	
257	3096	8	
5386	3097	9	
9490	3098	20	
8113	3099	10	
5229	3100	4	
3982	3101	45	
3919	3102	15	
8230	3103	32	
9963	3104	7	
6226	3105	7	
0	3106	22	
9210	3107	14	
3872	3108	52	
1514	3109	13	
8534	3110	16	
8040	3111	17	
7131	3112	13	
6968	3113	7	
7949	3114	7	
1508	3115	22	
5588	3116	9	
7226	3117	12	
1205	3118	3	
7858	3119	9	
8303	3120	12	
9980	3121	3	
8228	3122	13	
3716	3123	9	
8732	3124	10	
5927	3125	27	
7716	3126	14	
6678	3127	3	
2506	3128	10	
7179	3129	8	
3919	3130	16	
4101	3131	25	
6115	3132	17	
9828	3133	13	
6064	3134	10	
3690	3135	10	
7085	3136	12	
780	3137	13	
3136	3138	11	
1842	3139	37	
1099	3140	20	
3822	3141	38	
9100	3142	1	
8430	3143	10	
1506	3144	19	
5906	3145	9	
7966	3146	9	
8414	3147	10	
3142	3148	1	
1926	3149	5	
2295	3150	8	
8224	3151	47	
1540	3152	10	
8143	3153	11	
9734	3154	11	
7360	3155	3	
9899	3156	18	
2985	3157	1	
7942	3158	12	
4106	3159	2	
9256	3160	12	
8870	3161	15	
2605	3162	3	
7573	3163	2	
4297	3164	8	
351	3165	8	
5331	3166	54	
3630	3167	3	
2239	3168	26	
5023	3169	46	
4475	3170	8	
1792	3171	6	
3165	3172	30	
3123	3173	17	
1671	3174	21	
66	3175	12	
7538	3176	11	
8443	3177	3	
4177	3178	22	
7464	3179	20	
9666	3180	4	
7938	3181	41	
925	3182	9	
8787	3183	8	
4261	3184	35	
9416	3185	11	
7282	3186	6	
2130	3187	13	
8180	3188	2	
8191	3189	2	
5256	3190	10	
626	3191	6	
8961	3192	11	
9673	3193	27	
6975	3194	7	
2780	3195	23	
5156	3196	8	
3986	3197	16	
7646	3198	20	
796	3199	4	
5472	3200	4	
4416	3201	18	
6259	3202	5	
709	3203	3	
7087	3204	8	
232	3205	5	
6791	3206	18	
8550	3207	8	
8157	3208	11	
1474	3209	6	
5674	3210	21	
967	3211	10	
1934	3212	27	
8490	3213	4	
5099	3214	17	
8325	3215	5	
9385	3216	1	
3457	3217	11	
1992	3218	4	
4694	3219	2	
9000	3220	3	
4531	3221	12	
7645	3222	11	
2232	3223	6	
538	3224	36	
647	3225	25	
8441	3226	44	
6523	3227	20	
939	3228	5	
9051	3229	3	
5597	3230	28	
3772	3231	26	
16	3232	1	
6236	3233	10	
1704	3234	4	
9619	3235	19	
5128	3236	14	
6715	3237	19	
474	3238	14	
567	3239	10	
4379	3240	46	
8354	3241	8	
5473	3242	27	
1668	3243	13	
2553	3244	18	
4803	3245	15	
2445	3246	5	
3160	3247	17	
3404	3248	10	
8485	3249	3	
3708	3250	11	
5657	3251	19	
9186	3252	25	
2087	3253	13	
42	3254	5	
846	3255	16	
3018	3256	6	
6804	3257	9	
24	3258	10	
6450	3259	15	
