u	v	w
2149	407	15	
5297	408	18	
9755	409	1	
5642	410	15	
5276	411	24	
2063	412	3	
7309	413	25	
7102	414	6	
5092	415	18	
6610	416	13	
8055	417	2	
6162	418	7	
5822	419	3	
8402	420	9	
9724	421	9	
6066	422	15	
4478	423	13	
9332	424	16	
5653	425	1	
6292	426	2	
2809	427	2	
7692	428	4	
6244	429	13	
9863	430	29	
9844	431	12	
5345	432	36	
6522	433	9	
9726	434	4	
9255	435	1	
6461	436	3	
6161	437	10	
8212	438	1	
9359	439	11	
4857	440	14	
6635	441	5	
4366	442	2	
1729	443	1	
6224	444	7	
6692	445	5	
2111	446	10	
8864	447	16	
3507	448	12	
7982	449	13	
7095	450	14	
8436	451	7	
2740	452	21	
6037	453	11	
8050	454	17	
5371	455	1	
6933	456	11	
6715	457	10	
6085	458	36	
1830	459	4	
8665	460	11	
8705	461	5	
122	462	20	
639	463	4	
4367	464	2	
1785	465	6	
8054	466	7	
3057	467	6	
8472	468	23	
2398	469	20	
6307	470	6	
7238	471	8	
3436	472	15	
4408	473	10	
14	474	12	
3098	475	3	
1407	476	8	
5388	477	26	
6287	478	4	
5485	479	9	
1438	480	2	
3340	481	32	
5334	482	2	
9188	483	6	
9538	484	5	
7012	485	6	
5318	486	1	
872	487	4	
9364	488	33	
5610	489	26	
1695	490	12	
8343	491	2	
1260	492	3	
416	493	15	
7929	494	5	
2925	495	9	
979	496	5	
8712	497	3	
6723	498	9	
5525	499	1	
258	500	2	
7579	501	17	
1545	502	41	
9850	503	8	
1644	504	13	
9507	505	2	
4140	506	7	
188	507	16	
5161	508	6	
6585	509	6	
5032	510	7	
7897	511	3	
235	512	12	
7806	513	13	
4917	514	10	
4635	515	1	
9276	516	24	
2908	517	2	
311	518	20	
1925	519	1	
3768	520	6	
9616	521	7	
8298	522	1	
4580	523	10	
2464	524	17	
8186	525	10	
4956	526	5	
7962	527	22	
9813	528	13	
3583	529	10	
1977	530	9	
6293	531	9	
4058	532	6	
2698	533	12	
7341	534	4	
5601	535	9	
1359	536	5	
8706	537	26	
202	538	8	
5711	539	8	
7231	540	12	
4943	541	51	
1675	542	11	
9248	543	14	
2086	544	6	
1095	545	4	
8284	546	30	
7142	547	6	
8191	548	1	
6614	549	5	
426	550	11	
9202	551	10	
9164	552	15	
9361	553	11	
3331	554	9	
4001	555	3	
2978	556	7	
3953	557	29	
1605	558	5	
9725	559	4	
7942	560	28	
7297	561	16	
6037	562	24	
539	563	9	
4387	564	9	
8282	565	4	
2888	566	12	
3799	567	11	
2755	568	21	
8191	569	12	
1185	570	10	
344	571	21	
1225	572	4	
4151	573	4	
4555	574	18	
5016	575	13	
3899	576	16	
3370	577	6	
5571	578	6	
9935	579	6	
4520	580	8	
7574	581	12	
3943	582	20	
7784	583	34	
3998	584	10	
3015	585	29	
3870	586	13	
6371	587	24	
8726	588	1	
2153	589	5	
8784	590	26	
3145	591	5	
8860	592	15	
3309	593	26	
7819	594	3	
2052	595	11	
5737	596	3	
3820	597	3	
1846	598	8	
5109	599	6	
7036	600	10	
4324	601	23	
1714	602	14	
9536	603	11	
8370	604	2	
4584	605	13	
2375	606	1	
1861	607	18	
3039	608	2	
2155	609	6	
7931	610	13	
5719	611	9	
7808	612	1	
779	613	13	
1913	614	4	
795	615	8	
2869	616	13	
6669	617	12	
8841	618	16	
2862	619	15	
8981	620	21	
7060	621	20	
6174	622	17	
6475	623	15	
4779	624	9	
6276	625	4	
6632	626	2	
510	627	12	
2082	628	2	
5709	629	6	
883	630	25	
9987	631	6	
3311	632	26	
165	633	1	
3683	634	2	
51	635	23	
5959	636	10	
5033	637	13	
9104	638	26	
1552	639	14	
7007	640	9	
405	641	11	
3057	642	13	
